school_name,district,region,state,city,zip_code,grade_levels,student_count,contact_phone,website,school_type,total_enrollment,verification_status,data_source
Bryan High School,Bryan ISD,Central Texas,TX,Bryan,77803,"9,10,11,12",1900,979-209-1300,https://www.bryanisd.org/bhs,high_school,1900,pending,nces_import
Rudder High School,Bryan ISD,Central Texas,TX,Bryan,77802,"9,10,11,12",1850,979-209-1400,https://www.bryanisd.org/rudder,high_school,1850,pending,nces_import
A&M Consolidated High School,College Station ISD,Central Texas,TX,College Station,77845,"9,10,11,12",2200,979-764-5600,https://www.csisd.org/consol,high_school,2200,pending,nces_import
Corpus Christi Carroll High School,Corpus Christi ISD,Coastal Texas,TX,Corpus Christi,78411,"9,10,11,12",1700,361-878-1400,https://www.ccisd.us/carroll,high_school,1700,pending,nces_import
Corpus Christi King High School,Corpus Christi ISD,Coastal Texas,TX,Corpus Christi,78418,"9,10,11,12",1750,361-878-1500,https://www.ccisd.us/king,high_school,1750,pending,nces_import
Corpus Christi Miller High School,Corpus Christi ISD,Coastal Texas,TX,Corpus Christi,78410,"9,10,11,12",1800,361-878-1600,https://www.ccisd.us/miller,high_school,1800,pending,nces_import
Corpus Christi Moody High School,Corpus Christi ISD,Coastal Texas,TX,Corpus Christi,78405,"9,10,11,12",1650,361-878-1700,https://www.ccisd.us/moody,high_school,1650,pending,nces_import
Corpus Christi Ray High School,Corpus Christi ISD,Coastal Texas,TX,Corpus Christi,78412,"9,10,11,12",1900,361-878-1800,https://www.ccisd.us/ray,high_school,1900,pending,nces_import
Veterans Memorial High School,Corpus Christi ISD,Coastal Texas,TX,Corpus Christi,78418,"9,10,11,12",2000,361-878-1900,https://www.ccisd.us/veterans,high_school,2000,pending,nces_import
Victoria East High School,Victoria ISD,Coastal Texas,TX,Victoria,77901,"9,10,11,12",1500,361-788-9700,https://www.visd.com/east,high_school,1500,pending,nces_import
Victoria West High School,Victoria ISD,Coastal Texas,TX,Victoria,77901,"9,10,11,12",1450,361-788-9800,https://www.visd.com/west,high_school,1450,pending,nces_import
Laredo United High School,United ISD,South Texas,TX,Laredo,78045,"9,10,11,12",2100,956-473-6300,https://www.uisd.net/united,high_school,2100,pending,nces_import
Alexander High School,United ISD,South Texas,TX,Laredo,78045,"9,10,11,12",2000,956-473-6400,https://www.uisd.net/alexander,high_school,2000,pending,nces_import
Nixon High School,United ISD,South Texas,TX,Laredo,78046,"9,10,11,12",1950,956-473-6500,https://www.uisd.net/nixon,high_school,1950,pending,nces_import
United South High School,United ISD,South Texas,TX,Laredo,78046,"9,10,11,12",2050,956-473-6600,https://www.uisd.net/unitedsouth,high_school,2050,pending,nces_import
McAllen High School,McAllen ISD,South Texas,TX,McAllen,78501,"9,10,11,12",2400,956-632-5000,https://www.mcallenisd.org/mhs,high_school,2400,pending,nces_import
Memorial High School,McAllen ISD,South Texas,TX,McAllen,78503,"9,10,11,12",2300,956-632-6000,https://www.mcallenisd.org/memorial,high_school,2300,pending,nces_import
Rowe High School,McAllen ISD,South Texas,TX,McAllen,78504,"9,10,11,12",2200,956-632-7000,https://www.mcallenisd.org/rowe,high_school,2200,pending,nces_import
Edinburg High School,Edinburg CISD,South Texas,TX,Edinburg,78539,"9,10,11,12",2500,956-289-2300,https://www.ecisd.us/ehs,high_school,2500,pending,nces_import
Edinburg North High School,Edinburg CISD,South Texas,TX,Edinburg,78541,"9,10,11,12",2400,956-289-2400,https://www.ecisd.us/enhs,high_school,2400,pending,nces_import
Vela High School,Edinburg CISD,South Texas,TX,Edinburg,78542,"9,10,11,12",2300,956-289-2500,https://www.ecisd.us/vela,high_school,2300,pending,nces_import
Brownsville Hanna High School,Brownsville ISD,South Texas,TX,Brownsville,78520,"9,10,11,12",2000,956-698-0600,https://www.bisd.us/hanna,high_school,2000,pending,nces_import
Brownsville Lopez High School,Brownsville ISD,South Texas,TX,Brownsville,78520,"9,10,11,12",1900,956-698-0700,https://www.bisd.us/lopez,high_school,1900,pending,nces_import
Brownsville Pace High School,Brownsville ISD,South Texas,TX,Brownsville,78521,"9,10,11,12",1850,956-698-0800,https://www.bisd.us/pace,high_school,1850,pending,nces_import
Brownsville Porter High School,Brownsville ISD,South Texas,TX,Brownsville,78526,"9,10,11,12",2100,956-698-0900,https://www.bisd.us/porter,high_school,2100,pending,nces_import
Brownsville Rivera High School,Brownsville ISD,South Texas,TX,Brownsville,78521,"9,10,11,12",1950,956-698-1000,https://www.bisd.us/rivera,high_school,1950,pending,nces_import
Brownsville Veterans Memorial High School,Brownsville ISD,South Texas,TX,Brownsville,78526,"9,10,11,12",2050,956-698-1100,https://www.bisd.us/veterans,high_school,2050,pending,nces_import
